Population,Generation,GFP,wbar,ubar
22,7,0.00376,1.2560763830429014,1.62856
22,8,0.0001,1.3268346292785813,1.98986
22,9,0.0,1.3308730887547495,2.01063
22,10,0.0,1.34205257803626,2.08236
22,11,0.0,1.4445167261776837,2.62925
22,12,0.0,1.5204855570428013,2.98839
23,0,0.5,1.0,0.0
23,1,0.49995,1.0000564799883,0.00154
23,2,0.49519,1.0007066917641392,0.008
23,3,0.5311,1.0107886568608384,0.09224
23,4,0.81116,1.0803255824909805,0.64714
23,5,0.9848,1.1354096384011867,1.07948
23,6,0.99833,1.198607322234844,1.598
23,7,0.9997,1.246031779567505,1.97655
23,8,0.99988,1.3411425106706074,2.38449
23,9,1.0,1.5030040512376255,3.00267
23,10,1.0,1.518095117374701,3.0933
23,11,1.0,1.5894550787725008,3.50077
23,12,1.0,1.8197687086468364,4.58617
24,0,0.5,1.0,0.0
24,1,0.49955,1.0000532357786298,0.0009
24,2,0.49172,1.0005112950240433,0.00605
24,3,0.51286,1.0063298226859474,0.06166
24,4,0.69207,1.0505334576806715,0.46414
24,5,0.91888,1.1024435354574589,0.92534
24,6,0.97231,1.1126020782124848,1.0142
24,7,0.98774,1.1476647874072674,1.21848
24,8,0.99909,1.2927732848568447,1.9383
24,9,0.99998,1.311492813012455,2.01089
24,10,1.0,1.3141723941364014,2.01779
24,11,1.0,1.3202995487629345,2.06105
24,12,1.0,1.3608389581502034,2.35811
25,0,0.5,1.0,0.0
25,1,0.49751,1.0000591485271677,0.00101
25,2,0.49617,1.0004436079001287,0.00633
25,3,0.49952,1.0037181021822592,0.04219
25,4,0.51466,1.0274620715635374,0.28587
25,5,0.51291,1.0805876492943747,0.80118
25,6,0.45552,1.1018449822025216,0.98488
25,7,0.38625,1.1073421552015998,1.01737
25,8,0.32024,1.1156552344563655,1.0758
25,9,0.16418,1.2081732562753025,1.58508
25,10,0.02128,1.296982756343872,2.02838
25,11,0.00887,1.3130263798559705,2.12316
25,12,0.00086,1.5881982757079987,2.89828
26,0,0.5,1.0,0.0
26,1,0.49222,1.0000794056203892,0.00112
26,2,0.49061,1.0009002456855862,0.00872
26,3,0.43974,1.014361928374493,0.11717
26,4,0.13043,1.111925030496249,0.77744
26,5,0.00512,1.2482877447562124,1.52156
26,6,0.00022,1.323425033884783,1.96875
26,7,0.0,1.3290290462362715,2.00713
26,8,0.0,1.3359252610444274,2.05716
26,9,0.0,1.3929921465471313,2.42438
26,10,0.0,1.4744370926883321,2.92306
26,11,0.0,1.4923990922912147,3.01646
26,12,0.0,1.600438301338341,3.44417
27,0,0.5,1.0,0.0
27,1,0.50059,1.0000672837669085,0.00156
27,2,0.50319,1.0004701598067334,0.0067
27,3,0.48769,1.0043782392402636,0.04601
27,4,0.37936,1.036601637928894,0.35119
27,5,0.18055,1.0934496584604287,0.87413
27,6,0.1271,1.1072153843792842,0.99517
27,7,0.12587,1.1117224478413004,1.02789
27,8,0.12489,1.1428772106282477,1.22418
27,9,0.04383,1.2516611411731726,1.85794
27,10,0.00522,1.2784387065327207,1.99998
27,11,0.00052,1.2819060172903152,2.02664
27,12,0.00012,1.3061474471721402,2.14626
28,0,0.5,1.0,0.0
28,1,0.49881,1.0000462951763986,0.00079
28,2,0.49922,1.000912949567929,0.00812
28,3,0.42226,1.021933990848546,0.14983
28,4,0.07539,1.1280145913448456,0.85874
28,5,0.00322,1.1507239497573072,1.01639
28,6,6e-05,1.1588986134448782,1.08912
28,7,0.0,1.2290439597596547,1.6048
28,8,0.0,1.3606111453407486,2.56474
28,9,0.0,1.4066883125419438,2.93654
28,10,0.0,1.4258236583975388,3.05525
28,11,0.0,1.5735096582446493,3.69645
28,12,0.0,1.6717557920189217,4.01803
29,0,0.5,1.0,0.0
29,1,0.50869,1.0000425175841794,0.00111
29,2,0.50182,1.0001791346564386,0.00319
29,3,0.50683,1.0011261817918826,0.01487
29,4,0.4492,1.0382088916505612,0.21437
29,5,0.02955,1.2110359923406233,0.97495
29,6,0.00062,1.2782310705886721,1.26797
29,7,0.0,1.4797887184711385,2.00612
29,8,0.0,1.4942151305950808,2.05456
29,9,0.0,1.4984291221657207,2.09271
29,10,0.0,1.5394627098458558,2.36107
29,11,0.0,1.6825518356563138,3.27782
29,12,0.0,1.7472256396953378,3.78231
30,0,0.5,1.0,0.0
30,1,0.49556,1.0000202673406275,0.00075
30,2,0.49566,1.0003525063334684,0.00428
30,3,0.51582,1.0062363482722485,0.04952
30,4,0.77556,1.081902412876793,0.58474
30,5,0.98862,1.1586925615120216,1.14167
30,6,0.99982,1.214390128734799,1.57831
30,7,1.0,1.457727386123194,2.02066
30,8,1.0,1.4877348708807787,2.02526
30,9,1.0,1.5572018653942514,2.29683
30,10,1.0,1.7329544431386266,2.95978
30,11,1.0,1.760053935991741,3.04093
30,12,1.0,2.036024921423911,3.77271
31,0,0.5,1.0,0.0
31,1,0.50301,1.0000250721334587,0.00083
31,2,0.5022,1.0001293102042959,0.00267
31,3,0.48813,1.0023197600155584,0.0196
31,4,0.36004,1.0832631778339294,0.44994
31,5,0.48853,1.2105656083219767,0.98811
31,6,0.79728,1.2357792547983035,1.00734
31,7,0.93937,1.2540737957746262,1.06971
31,8,0.97428,1.3174051964428597,1.50163
31,9,0.9815,1.3804311216981304,1.94308
31,10,0.98788,1.3949343855197291,2.04358
31,11,0.99499,1.4475942796856982,2.37355
31,12,0.99949,1.5453626664766993,2.91294
32,0,0.5,1.0,0.0
32,1,0.49768,1.0003702802154315,0.00245
32,2,0.67146,1.1006775105834021,0.35385
32,3,0.99792,1.2874962536615624,0.99802
32,4,0.99998,1.2886443557879403,1.00409
32,5,1.0,1.2892573620378702,1.0124
32,6,1.0,1.2934820282771415,1.05386
32,7,1.0,1.321421581846651,1.28909
32,8,1.0,1.3932217727918812,1.8004
32,9,1.0,1.4539239489367546,2.06353
32,10,1.0,1.670473273044253,2.80545
32,11,1.0,1.7262806753001168,2.99748
32,12,1.0,1.728478530818841,3.00932
33,0,0.5,1.0,0.0
33,1,0.50681,1.0000440568785056,0.00118
33,2,0.5062,1.0002371569032338,0.00447
33,3,0.511,1.0025754159216733,0.02846
33,4,0.51382,1.0514020978045133,0.3317
33,5,0.09537,1.2126991233404252,0.97675
33,6,0.00791,1.2289945700522409,1.00947
33,7,0.00102,1.23461180293171,1.0479
33,8,6e-05,1.3622152473418074,1.55638
33,9,0.0,1.5153861857399538,2.0008
33,10,0.0,1.5906355226739428,2.24664
