Population	 Frequency at Bottleneck 10	 Frequency at Bottleneck 20	 Frequency at Bottleneck 30	 Frequency at Bottleneck 40	 Frequency at Bottleneck 50	 Frequency at Bottleneck 60	 Whole Population Fitness Average at Bottleneck 10	 Whole Population Fitness Average at Bottleneck 20	 Whole Population Fitness Average at Bottleneck 30	 Whole Population Fitness Average at Bottleneck 40	 Whole Population Fitness Average at Bottleneck 50	 Whole Population Fitness Average at Bottleneck 60
POP-66 	 0.858858 	 1 	 1 	 1 	 1 	 1 	 1.68931 	 3.11771 	 7.26069 	 18.6462 	 45.7593 	 107.778 
POP-67 	 0.291808 	 1 	 1 	 1 	 1 	 1 	 1.86392 	 4.52094 	 9.108 	 22.299 	 53.9713 	 150.495 
POP-68 	 0.843742 	 1 	 1 	 1 	 1 	 1 	 1.8048 	 4.12587 	 10.9732 	 31.4675 	 77.9263 	 201.281 
POP-69 	 0.739375 	 1 	 1 	 1 	 1 	 1 	 1.84762 	 4.24866 	 8.58545 	 17.2977 	 46.7108 	 127.288 
POP-70 	 0.007775 	 0 	 0 	 0 	 0 	 0 	 1.97708 	 4.71985 	 10.6145 	 25.5844 	 46.5305 	 114.517 
POP-71 	 0.595383 	 1 	 1 	 1 	 1 	 1 	 1.55097 	 4.00998 	 19.6086 	 46.6653 	 100.535 	 193.248 
POP-72 	 0.926708 	 1 	 1 	 1 	 1 	 1 	 1.56645 	 3.99432 	 8.90136 	 22.0166 	 55.2766 	 160.052 
POP-73 	 0.999208 	 1 	 1 	 1 	 1 	 1 	 1.90984 	 3.5103 	 6.87865 	 16.5042 	 33.8444 	 94.6421 
POP-74 	 0.00373333 	 0 	 0 	 0 	 0 	 0 	 1.79646 	 3.60911 	 6.5 	 17.7667 	 34.9622 	 73.4151 
POP-75 	 0.165525 	 0.951542 	 1 	 1 	 1 	 1 	 1.59341 	 4.72198 	 8.85132 	 18.4857 	 36.6052 	 76.6656 
POP-76 	 0.2671 	 0 	 0 	 0 	 0 	 0 	 1.80004 	 4.38952 	 8.7771 	 17.9033 	 47.4671 	 114.901 
POP-77 	 0.0576833 	 0 	 0 	 0 	 0 	 0 	 2.04776 	 3.96191 	 10.343 	 26.2205 	 62.9559 	 209.214 
POP-78 	 0.228125 	 0.00514167 	 0 	 0 	 0 	 0 	 1.43458 	 2.83758 	 7.21273 	 17.4529 	 36.179 	 95.4088 
POP-79 	 0.0282167 	 0 	 0 	 0 	 0 	 0 	 1.73621 	 4.97387 	 10.0328 	 19.3882 	 46.1607 	 112.17 
POP-80 	 0.10135 	 0 	 0 	 0 	 0 	 0 	 1.64193 	 4.21315 	 8.69923 	 18.0342 	 36.5848 	 80.8602 
POP-81 	 0.914558 	 1 	 1 	 1 	 1 	 1 	 1.91883 	 4.31014 	 9.42597 	 20.9345 	 37.4579 	 70.3039 
POP-82 	 0.838492 	 0.985425 	 1 	 1 	 1 	 1 	 1.72808 	 3.68357 	 9.72176 	 19.1016 	 40.6346 	 77.518 
POP-83 	 0.0642583 	 0 	 0 	 0 	 0 	 0 	 1.8507 	 3.90462 	 9.67422 	 20.3259 	 45.2749 	 93.9023 
POP-84 	 0.827367 	 1 	 1 	 1 	 1 	 1 	 1.5226 	 3.82464 	 9.26151 	 19.8293 	 47.4266 	 87.7224 
POP-85 	 0.1026 	 0.999767 	 1 	 1 	 1 	 1 	 1.61925 	 3.95117 	 9.09057 	 26.7392 	 60.54 	 134.23 
POP-86 	 0.0146 	 0 	 0 	 0 	 0 	 0 	 1.60871 	 4.9966 	 10.4939 	 26.3796 	 59.435 	 156.181 
POP-87 	 0.997133 	 1 	 1 	 1 	 1 	 1 	 2.12121 	 4.35819 	 9.43148 	 22.7719 	 49.592 	 151.643 
POP-88 	 0.625233 	 1 	 1 	 1 	 1 	 1 	 1.54396 	 4.11933 	 9.05825 	 18.9541 	 34.6171 	 91.2751 
POP-89 	 0.61945 	 0.773442 	 0.943608 	 1 	 1 	 1 	 1.72379 	 3.81267 	 6.74228 	 13.7373 	 27.8511 	 58.4791 
POP-90 	 0.430533 	 1 	 1 	 1 	 1 	 1 	 1.66384 	 3.88368 	 6.71412 	 16.1541 	 32.6448 	 71.9097 
POP-91 	 0.83105 	 1 	 1 	 1 	 1 	 1 	 1.72594 	 4.28701 	 10.2604 	 21.6575 	 56.124 	 124.619 
POP-92 	 0.601233 	 0.994958 	 1 	 1 	 1 	 1 	 1.50642 	 3.49329 	 6.7229 	 13.1724 	 35.0026 	 135.791 
POP-93 	 0.0807083 	 0 	 0 	 0 	 0 	 0 	 1.50313 	 3.70838 	 8.45494 	 25.3254 	 49.4337 	 100.347 
POP-94 	 0.0313417 	 0 	 0 	 0 	 0 	 0 	 1.56699 	 3.38726 	 8.61906 	 19.4054 	 41.0596 	 77.3516 
POP-95 	 0.92835 	 1 	 1 	 1 	 1 	 1 	 1.60604 	 3.17718 	 8.47877 	 14.4647 	 41.8988 	 72.0243 
POP-96 	 0.012325 	 0 	 0 	 0 	 0 	 0 	 2.8332 	 7.29625 	 13.8946 	 30.131 	 84.9913 	 156.99 
POP-97 	 0.999742 	 1 	 1 	 1 	 1 	 1 	 1.94065 	 4.20669 	 8.07045 	 17.8553 	 39.6259 	 74.1392 
POP-98 	 0 	 0 	 0 	 0 	 0 	 0 	 2.12715 	 4.12621 	 8.54636 	 19.5445 	 42.2863 	 84.1963 
POP-99 	 0.00421667 	 0 	 0 	 0 	 0 	 0 	 1.8786 	 3.2312 	 8.26309 	 16.4971 	 41.6554 	 98.7233 
POP-100 	 0.999375 	 1 	 1 	 1 	 1 	 1 	 2.4446 	 4.54501 	 9.43199 	 23.4969 	 79.1832 	 179.156 
