Bug 1,Bug 2,Carbon,1 on 2: Effect,2 on 1: Effect,monoGrow_x,metDis,monoGrow_y,monoGrow24_x,monoGrow24_y,carbon_component_0,carbon_component_1,carbon_component_2,carbon_component_3,phy_strain_component_0_x,phy_strain_component_1_x,phy_strain_component_0_y,phy_strain_component_1_y
PH,EA,Acetate,2.526995512,-0.009868309,0.050227415,0.630749689,-0.725165275,-0.279961417,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.675692322,0.010778575,-0.728605914,0.258253314
PP,EA,Acetate,2.609199633,-0.288560636,0.397380868,0.399061972,-0.725165275,0.039141285,-0.696975019,-2.580535726,0.565009442,0.457130669,-0.212694531,1.708237337,0.022892351,-0.728605914,0.258253314
PAl,EC,Acetate,2.756361296,0,-0.824847064,0.960138739,-0.671409558,-0.995466788,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.564351128,-0.250667083,-0.643519307,-0.047828461
PAg2,EC,Acetate,2.00243225,0,-0.968978489,0.97190388,-0.671409558,-0.686779466,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.630904166,-0.20157447,-0.643519307,-0.047828461
PAg1,EC,Acetate,3.448815762,0,-1.02095852,0.931340802,-0.671409558,-0.727022587,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.644315471,-0.222011822,-0.643519307,-0.047828461
PAg3,EC,Acetate,3.266279525,0.269163622,-0.995724524,0.957248513,-0.671409558,-0.851973435,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.598951558,-0.248461055,-0.643519307,-0.047828461
LA,EC,Acetate,2.13280885,-1.483478373,-0.833409316,0.975866535,-0.671409558,-0.940965667,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.771000309,0.077075392,-0.643519307,-0.047828461
EL,EC,Acetate,3.196037118,0.186799221,-0.180209567,0.961052134,-0.671409558,-0.919043173,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.734730655,-0.044093938,-0.643519307,-0.047828461
RP2,EC,Acetate,2.492159935,-0.311733294,-0.364223032,0.961013423,-0.671409558,-0.947123812,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.792851826,0.117358038,-0.643519307,-0.047828461
RP1,EC,Acetate,2.494616164,-0.061855426,-0.161343665,0.938777707,-0.671409558,-0.960912492,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.796280534,0.113226274,-0.643519307,-0.047828461
SF1,EC,Acetate,2.039324104,0,-0.832443111,1,-0.671409558,-0.835507145,-0.570535161,-2.580535726,0.565009442,0.457130669,-0.212694531,-0.735447249,0.247141093,-0.643519307,-0.047828461
