,0,1,2,3,4,5,6,7,8,9
95,-0.0842555,-0.057917148,-0.0065172315,0.2892347,-0.30177432,-0.12749332,-0.2612716,-0.20743139,-0.01564768,0.14761633
96,-0.33332616,-0.027879655,0.029945314,-0.018485129,0.12378761,0.17615944,0.038842678,-0.27471745,0.21137738,-0.064003915
97,-0.033825845,0.23227638,0.07655853,0.09996784,-0.042139404,0.15618032,-0.11760536,0.25392148,0.26904196,-0.012431145
98,0.0550952,0.011146158,0.06866491,0.09691882,0.21100906,-0.10867084,-0.043317556,-0.13371813,-0.22851509,-0.10222602
99,-0.20410067,-0.110518426,0.012642246,0.14316446,-0.044688195,-0.09826195,-0.29151833,0.08662033,0.15753265,0.05620168
100,0.082728915,0.010494351,-0.09171286,0.09883241,-0.12814146,0.079074115,0.09240545,0.0027535409,0.18914953,-0.027827576
101,0.101220705,-0.018181473,0.22978097,-0.2978443,-0.024404764,0.21183175,-0.02894473,-0.06645301,0.08551282,-0.04811868
102,-0.17348772,0.18845284,0.0325841,0.16179818,-0.28332692,0.13625684,-0.31035888,-0.16885817,-0.19193459,-0.30175328
103,-0.13429096,0.12475082,0.3233545,-0.1816839,0.09269866,0.12135264,0.11320552,0.042005897,-0.017357945,0.23470461
104,-0.0073149055,0.23028553,-0.20219481,-0.14785753,-0.1713933,0.2430023,0.13825953,-0.06388819,0.15126437,-0.12649411
105,0.12584046,0.09586449,0.15440822,-0.0832091,0.113233685,-0.09467128,0.35609144,0.101454675,0.1495452,-0.19469091
106,0.21573135,0.05182293,0.22315353,-0.1335265,0.18469489,0.045696944,-0.15141204,-0.124807775,0.08838394,0.2148628
107,0.016331516,-0.047308713,0.04924334,0.39623064,0.14825165,0.2834772,0.20010239,0.06709531,-0.12115234,-0.040966213
108,0.31428522,0.02427227,-0.08973168,-0.07221101,-0.014228284,0.21267343,0.15714598,-0.1428259,0.09316683,-0.22040308
109,-0.03145516,-0.026174173,0.20415697,0.045188606,0.16234648,-0.0143197775,-0.22138113,-0.22939497,-0.03394918,-0.035948396
110,0.21706551,-0.064377755,-0.18518114,-0.043006495,-0.2898612,-0.32085592,0.006815791,-0.32775736,-0.10596364,-0.084062725
111,0.18144044,0.020022003,0.09854072,-0.15403798,-0.04767248,-0.08440046,-0.08505744,-0.15968114,0.09477514,-0.20944738
112,0.32598877,0.16079527,0.19288844,-0.1520493,-0.281101,-0.12941903,0.109924465,0.02535626,0.05687806,-0.120105445
113,0.04653606,-0.20637971,0.023577511,0.16614199,-0.10451399,0.009136617,0.06486692,0.119119465,0.024217218,0.13603368
114,-0.07645291,-0.37138724,-0.3109575,0.20694655,-0.0076771677,0.20595104,-0.07439935,0.17180556,-0.097093135,-0.06756067
115,-0.038703937,-0.23121451,0.07422383,0.0877161,0.2820475,-0.13189098,0.076784134,0.028099239,0.1724149,-0.1382978
116,-0.082429454,0.15923098,-0.062125683,0.084968,0.09538728,0.040645838,-0.13646537,0.1982851,0.3632114,-0.08902867
117,0.08852798,-0.04454364,0.004545152,0.14781904,0.106615126,0.0038894713,-0.053549152,-0.02688536,-0.112959445,-0.112046495
118,0.16794497,0.08401245,0.26292598,-0.041532278,-0.2110177,0.19408673,0.12818299,0.010412991,0.18409711,-0.025716782
119,0.069633916,-0.3058071,-0.17249912,-0.013245016,0.08392966,-0.13465399,-0.030745625,0.10131045,0.28075558,0.08337573
120,0.20134199,0.216744,-0.2123721,-0.1546669,0.074386954,0.0011756094,-0.07210089,-0.13461196,-0.2424205,-0.19883305
121,0.013144255,-0.1656451,-0.0062856674,-0.06441608,-0.08806792,-0.07011539,-0.13166872,0.15532511,0.007821858,0.29601413
122,0.09142546,0.047785014,0.28061855,-0.007725954,-0.08518669,-0.048392177,-0.11090754,-0.05978,0.031971082,0.21502489
123,0.119260415,0.15692744,-0.19651341,0.20941556,0.25175995,-0.1639412,0.16212499,0.27186733,0.1657638,0.07652789
124,-0.08033466,0.17813885,0.20733988,-0.116714746,-0.31306994,-0.087257296,0.17567718,-0.14428964,0.19734532,-0.035377085
125,0.028973557,-0.11726451,-0.086078614,0.25654313,-0.35016942,-0.013725832,-0.2414163,-0.048663907,0.2142365,0.016369894
126,0.13841361,-0.32935256,0.024089903,0.2886644,0.19485474,0.17463386,-0.3154291,-0.071213245,0.028680801,0.23370498
127,-0.11467385,-0.17024744,-0.001242198,-0.10993606,0.06736971,-0.13836426,0.029325739,-0.21222562,-0.00688082,0.060819775
128,0.06504679,0.21326637,-0.016349822,0.03046301,-0.037672013,-0.15228784,0.2766462,0.07365152,0.04965713,0.31398422
129,0.27193284,0.09833604,0.08728391,-0.317343,-0.031917214,-0.017561972,0.123841226,0.2353507,0.077806056,-0.2859379
130,0.3750459,0.26239616,0.14003766,-0.1015417,0.2780953,-0.26481175,0.3371234,-0.17818516,0.09172019,0.04814469
131,0.31656128,-0.33011854,-0.13381195,0.2885899,-0.17957735,0.034156978,-0.15652387,0.03502962,0.14663759,-0.047769308
132,-0.02655664,0.11099378,-0.07835962,0.07398862,0.062092483,-0.29085094,0.03738585,-0.062375456,-0.020588994,0.30253598
133,-0.046520174,0.20827264,-0.13796973,0.17998672,-0.17666751,0.15858483,0.328489,0.08272141,0.23085254,-0.13330425
134,0.12207603,0.33879405,-0.03985396,-0.12856275,-0.1387349,-0.23551399,-0.041988164,-0.16345507,-0.07675934,0.33306196
135,-0.23892832,0.061239272,0.10093406,-0.2710954,-0.06076914,0.051730797,0.13415396,0.11912233,0.14088929,0.029448628
136,-0.04170823,0.19266874,0.063555256,-0.06320302,0.11753136,-0.08258295,-0.02734965,0.24396908,-0.21358883,0.06972046
137,0.043245405,0.19381323,0.30037785,-0.3371892,-0.23641884,0.028921634,-0.2321715,-0.27551037,-0.03180836,-0.24797446
138,-0.12029779,-0.17596689,-0.081608355,0.07222336,0.13779426,0.20549035,0.09301543,0.27993417,0.036523238,-0.13511899
139,-0.19998825,0.20951861,-0.3067816,0.16873068,-0.06533067,-0.12116295,-0.021325856,-0.057060152,-0.21784282,0.09868005
140,0.021781132,0.13329032,-0.17620814,0.22414547,0.097369224,-0.05969596,0.22024941,-0.1154169,0.030287579,0.025631428
141,-0.11965996,-0.06707382,0.027449906,-0.056037333,0.09398943,-0.2040633,-0.058694556,0.1732781,-0.11575657,0.03748834
142,0.07246888,-0.20307964,-0.09320782,-0.24382329,-0.005746305,0.38168955,0.16084707,-0.044141203,-0.16954955,-0.18255866
143,0.27447522,-0.14297736,-0.26385975,-0.28368294,-0.15470535,0.0941429,0.008460343,0.049661696,0.009189218,0.24082762
144,0.22491814,-0.006122276,-0.04661584,0.061065458,0.016868025,-0.13677764,-0.010182962,-0.0335387,0.066612124,-0.08203101
145,-0.3055429,0.1702522,0.2683823,0.08872056,0.19681013,0.27076668,-0.10278791,-0.10668346,-0.100204945,-0.109793365
146,0.1916948,-0.1024563,0.028067112,0.03635581,0.015426129,0.079800546,-0.12090528,0.12434912,0.06848023,0.028455317
147,0.117627084,-0.06012404,0.19794554,-0.057238787,-0.07078516,0.09544802,-0.089015156,0.37342894,0.10913283,0.0035374435
148,0.16902861,-0.059140176,0.07706791,-0.1456277,0.0012522638,0.2510026,0.008975446,-0.0109087825,0.21248704,-0.2687617
149,0.18538359,-0.2968359,-0.08297467,-0.2087453,0.13987386,0.1619606,0.08774413,0.28217697,0.0815559,0.032775745
150,0.32436627,0.021848641,0.27891672,0.08942157,0.055274248,0.2084516,0.07468936,0.27094752,-0.032301426,0.04029575
151,0.095332295,-0.089357525,0.3198378,0.2637893,0.25009364,-0.24380797,0.33947045,-0.2251451,-0.22861835,0.102678925
152,0.28369355,-0.3173676,-0.043533295,-0.09280884,0.040546477,-0.118155956,0.007919773,-0.21168497,-0.10692012,-0.1096944
153,-0.25924104,-0.051126234,-0.25279284,0.29640108,0.13369876,0.17685755,0.22556758,0.07382706,0.24530283,0.11645601
154,-0.0045257956,-0.024125248,0.037957385,-0.17163429,0.26259685,-0.25630742,-0.24330544,0.26689416,0.1432702,0.28045216
155,0.011272758,-0.02535019,-0.23306054,-0.079234116,-0.19677049,-0.148144,-0.20939064,-0.097669244,0.036226787,-0.18735683
156,-0.26124713,-0.3346039,0.06327745,-0.06796813,0.05026394,0.06903173,-0.085348114,0.1387183,-0.23812866,0.089524865
157,0.14716202,-0.07457867,-0.1311459,-0.06388043,-0.025488637,-0.18980479,0.01687628,0.07946366,0.17744797,-0.3340367
